License Type,Business Name,Street Address,Status,City,State,Zip Code,Phone No.,year,LicenceNumber
Restaurant (A-M) License,FRANK'S PLACE,327 W  MARION ST,RENEWED,SOUTH BEND,IN,46601,574-232-2277,2020,780RESTAM2020
Restaurant (A-M) License,Frank's Place,"327 W Marion St, South Bend, Indiana, 46601",RENEWED,SOUTH BEND,IN,46601,5742322277,2021,RST2021-191
Arborist License,"AMERICAN TREE CARE, INC",35 SYCAMORE ST.,RENEWED,NILES,MI,49120,574-287-8800,2022,ARB2022-035
Lawn Parking License,1219 WHITE OAK DR.,1219 WHITE OAK DR.,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-030
Taxi Driver License,Didier Rwamanzi,1657 COMMERCE DR.,DENIED,SOUTH BEND,IN,46628,574-287-6666,2022,TXD2022-002
Alarm Agent License,"SECURITAS ELECTRONIC SECURITY, INC.",3800 Tabs Dr,RENEWED,UNIONTOWN,OH,44685,330-899-5100,2021,ALR2021-031
Lawn Parking License,1236 CORBY BLVD.,1236 CORBY BLVD.,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-031
Lawn Parking License,1415 ROSEMARY LN.,1415 ROSEMARY LN.,INACTIVE,SOUTH BEND,IN,46637,NA,2021,LWN2021-025
Restaurant (A-M) License,MC DONALD'S 574,2001 S MICHIGAN ST,ACTIVE,SOUTH BEND,IN,46613,574-400-0775,2023,RST2023-159
Tattoo/Body Piercing Artist License,WILLIAM FASHBAUGH JR.,54430 30TH ST.,RENEWED,SOUTH BEND,IN,46635,NA,2022,TAA2022-011
Restaurant (N-Z) License,ZEN CAFE,530 E  LASALLE AVE,RENEWED,SOUTH BEND,IN,46617,812-360-1971,2020,8667RESTZ2020
Restaurant (N-Z) License,Style Inc - No.6,"701 PORTAGE AVE, SOUTH BEND, IN, 46616",ACTIVE,South Bend,IN,46616,574-855-3817,2023,RST2023-243
Restaurant (A-M) License,LOS ASES MEXICAN FOOD LLC,3622 EDISON RD,RENEWED,SOUTH BEND,IN,46615,574-383-5546,2021,RST2021-403
Restaurant (N-Z) License,PANDA EXPRESS #2886,209 E IRELAND RD,RENEWED,SOUTH BEND,IN,46614,574-231-9980,2021,RST2021-282
Alarm Agent License,PER MAR SECURITY & RESEARCH CO,730 S BYRKIT AVE,RENEWED,MISHAWAKA,IN,46544,563-359-3200,2022,ALR2022-027
Mobile Food Vendor (N-Z) 1 Year License,REAL GRILLE FOOD TRUCK,121 Garst St,RENEWED,SOUTH BEND,IN,46601,574-256-1649,2022,MFV2022-009
Peddlers and Canvassers License,MATTHEW MASON SR.,221 SADIE ST,ACTIVE,SOUTH BEND,IN,46628,574-514-4875,2023,PDL2023-002
Restaurant (A-M) License,MICHOACAN SUPERMARKET,425 S Main St,READY2ISSU,SOUTH BEND,IN,46601,574-234-1546,2023,RST2023-147
Restaurant (N-Z) License,VOLCANO RESTAURANT,3700 LINCOLN WAY W,ACTIVE,SOUTH BEND,IN,46628,574-287-5775,2023,RST2023-231
Restaurant (N-Z) License,7-Eleven #35742,"1233 N EDDY ST, SOUTH BEND, IN, 46617",RENEWED,SOUTH BEND,IN,46617,573-273-8170,2022,RST2022-276
Restaurant (A-M) License,THE MADISON OYSTER BAR,129 N MAIN ST,RENEWED,SOUTH BEND,IN,46601,574-288-3776,2022,RST2022-153
Restaurant (N-Z) License,The Well @ River Park Grace Church,"2410 E MISHAWAKA AV, SOUTH BEND, 46615",READY2ISSU,South Bend,IN,46614,574-387-2410,2023,RST2023-368
Hotel and Motel License,HOLIDAY INN EXPRESS,210 E Callander St,ACTIVE,SOUTH BEND,IN,46614,574-291-1040,2023,HTM2023-016
Restaurant (A-M) License,Fatbird LLC,103 W COLFAX AVE,RENEWED,SOUTH BEND,IN,46601,574-383-5708,2021,RST2021-006
Restaurant (A-M) License,McDonald's 2982,"3221 LINCOLN WAY W, SOUTH BEND, IN, 466281450",ACTIVE,South Bend,IN,46637,574-400-0775,2023,RST2023-117
Restaurant (N-Z) License,PIZZA HUT #34126,2017 SOUTH BEND AVE,RENEWED,SOUTH BEND,IN,46637,574-273-9944,2021,RST2021-285
Restaurant (N-Z) License,ONE STOP #3,1807 LINCOLN WAY E,ACTIVE,SOUTH BEND,IN,46613,574-288-8850,2023,RST2023-356
Restaurant (A-M) License,MC DONALD'S 2982,3221 LINCOLN WAY W,RENEWED,SOUTH BEND,IN,46628,574-400-0775,2022,RST2022-267
Alarm Agent License,MICHIGAN MONITORING SERVICE,2681 Industrial Row Dr,RENEWED,TROY,MI,48084,248-559-7100,2022,ALR2022-021
Rubbish/Garbage Removal License,REPUBLIC SERVICES,3300 Charlotte Ave,RENEWED,ELKHART,IN,46517,574-522-1331,2020,1205TRASH2020
Tattoo/Body Piercing Artist License,Emily Bradford,1008 W. Colfax Ave.,ACTIVE,South Bend,IN,46616,574-350-0638,2023,TAA2023-007
Alarm Agent License,Advanced Security,"807 Bower St, Elkhart, Indiana, 46514",ACTIVE,Elkhart,IN,46514,574-293-6898,2023,ALR2023-050
Restaurant (A-M) License,Chick-fil-A Portage Rd,"3703 PORTAGE AVE, SOUTH BEND, IN, 46628",READY2ISSU,South Bend,IN,46628,574-544-5678,2023,RST2023-325
Restaurant (N-Z) License,Tippecanoe Place Restaurant,NA,INACTIVE,South Bend,IN,46601,574-234-9077,2022,RST2022-005
Restaurant (N-Z) License,PORTAGE ONE STOP,"3301 PORTAGE AVE SOUTH BEND, IN 46628",RENEWED,SOUTH BEND,IN,46628,574-310-9068,2020,RST2020-047
Open Air Business License,"PURPLE PORCH CO-OP, INC",123 N. HILL ST.,ACTIVE,SOUTH BEND,IN,46617,574-287-6724,2023,OAB2023-001
Precious Metal Dealer License,"OZARK TRADING POST, LLC",1530 W  WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-287-7550,2020,2975PRECM2020
Restaurant (N-Z) License,West Side Democratic & Civic Club,"617 S WARREN ST, SOUTH BEND, IN, 46619",ACTIVE,South Bend,IN,46619,574-514-6583,2023,RST2023-381
Arborist License,MARK TEMPLE TREE SERVICE,201 S OLIVE ST,READY2ISSU,SOUTH BEND,IN,46619,574-232-2700,2023,ARB2023-030
Restaurant (A-M) License,LOS ASES MEXICAN FOOD,3622 EDISON RD,RENEWED,SOUTH BEND,IN,46615,574-383-5546,2020,7978RESTAM2020
Lawn Parking License,1515 ROSEMARY LN.,1515 ROSEMARY LN.,RENEWED,SOUTH BEND,IN,46637,NA,2022,LWN2022-057
Taxi Vehicle License,"UNITED CAB OF SOUTH BEND, LLC",2107 S. MICHIGAN ST.,ACTIVE,SOUTH BEND,IN,46613,574-233-9599,2022,TXV2022-007
Restaurant (A-M) License,Five Guys,"1233 N EDDY ST 110, SOUTH BEND, IN, 46617",RENEWED,South Bend,IN,46617,574-234-1800,2021,RST2021-096
Restaurant (A-M) License,Gospel Center Missionary Church,"930 S 30TH ST, SOUTH BEND, IN, 46615",ACTIVE,South Bend,IN,46615,574-288-4477,2023,RST2023-122
Self Service Laundry/Dry Cleaner License,BURTON'S LAUNDRY,1258 ELWOOD AVE,ACTIVE,SOUTH BEND,IN,46628,574-255-6101,2023,LND23-00030
Restaurant (A-M) License,MC ALISTER'S DELI,1130 E  ANGELA BLVD,RENEWED,FRANKLIN,TN,37067,574-232-8560,2020,4922RESTAM2020
Automotive Repair License,JT AUTO,"4443 W WESTERN AVE, SOUTH BEND, IN, 46619",ACTIVE,South Bend,IN,46619,574-235-8473,2023,AUT2023-017
Restaurant (A-M) License,KENTUCKY FRIED CHICKEN,3924   PORTAGE AVE,RENEWED,WICHITA,KS,67278,574-271-1368,2020,8445RESTAM2020
Restaurant (A-M) License,J.W. CHEN'S,1835 SOUTH BEND AVE,RENEWED,SOUTH BEND,IN,46637,574-271-2777,2021,RST2021-278
Restaurant (A-M) License,THE COFFEE SPOT,3201 SUGAR MAPLE BUSINESS CT,RENEWED,SOUTH BEND,IN,46628,574-288-0398,2020,790RESTAM2020
Restaurant (N-Z) License,POPEYE'S LOUISIANA KITCHEN,2605 LINCOLN WAY,RENEWED,SOUTH BEND,IN,46628,574-232-0000,2022,RST2022-306
Restaurant (A-M) License,Frick’s DQ Grill & Chill,"3907 S MICHIGAN ST, SOUTH BEND, IN, 46614",RENEWED,South Bend,IN,46614,574-291-2330,2022,RST2022-110
Lawn Parking License,1209 E. CORBY,1209 E. CORBY,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-044
Mobile Food Vendor (N-Z) 1 Year License,"Rulli's Italian Restaurant, Inc.",851 US Highway 20,RENEWED,Middlebury,IN,46540,574-361-3682,2021,MFV2021-008
Restaurant (A-M) License,ANTONIO'S,2227 FRANKLIN ST,EXPIRED,SOUTH BEND,IN,46613,574-747-4988,2022,RST2022-501
Arborist License,DAVE TALBOOM LAWNCARE INC,26981 KLINE TRL,RENEWED,SOUTH BEND,IN,46614,574-234-4883,2022,ARB2022-016
Restaurant (A-M) License,DAIRY QUEEN,4836 W. WESTERN AVE.,EXPIRED,SOUTH BEND,IN,46619,574-288-1100,2022,RST2022-491
Alarm Agent License,JOHNSON CONTROLS SECURITY SOLU,3600 W  MCGILL ST,RENEWED,BOCA RATON,FL,33431,561-912-6108,2020,7007ALARM2020
Alarm Agent License,SPEEDWAY LLC,500 Speedway Dr,RENEWED,SPRINGFIELD,OH,45501-1580,937-863-6473,2020,434ALARM2020
Restaurant (A-M) License,Greater St. John Missionary Baptist Church,"101 N ADAMS ST, SOUTH BEND, IN, 46628",RENEWED,South Bend,IN,46628,574-232-6700,2021,RST2021-047
Restaurant (N-Z) License,7-Eleven #35742,1233 N EDDY ST,ACTIVE,SOUTH BEND,IN,46617,574-234-2544,2023,RST2023-358
Restaurant (N-Z) License,RAGAMUFFIN BAKERY & COFFEE,321 S  MAIN ST,RENEWED,SOUTH BEND,IN,46601,765-366-3808,2020,8685RESTZ2020
Restaurant (A-M) License,MARYCREST MARATHON,2322 W  WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-233-8375,2020,7991RESTAM2020
Restaurant (A-M) License,Edible Arrangements,"123 S MICHIGAN ST, SOUTH BEND, 46601",RENEWED,South Bend,IN,46601,574-234-8281,2021,RST2021-090
Massage Establishment License,THERAPEUTIC INDULGENCE,903 E JEFFERSON BLVD,RENEWED,SOUTH BEND,IN,46617,574-520-1664,2022,MSE2022-002
Alarm Agent License,CRITICOM MONITORING SERVICES,715 W State Road 434,ACTIVE,LONGWOOD,FL,32750,NA,2023,ALR2023-035
